,State,Region,Cigarette Use.Adult.Smokers,Cigarette Use.Adult.Tried to Quit,Social Determinants.Consumed 1 or More Fruits per Day,Social Determinants.Consumed 1 or More Vegetables per Day,Social Determinants.Had a Mammogram in Past 2 Years,Social Determinants.Healthy Weight (BMI 18.5 to <25),Social Determinants.No Leisure Time Physical Activity,Social Determinants.Received at Least One Recommended CRC Test,State Demographics.Population,State Demographics.Population.65 and Older,State Demographics.Population.18 and Younger,State Demographics.Education.Bachelor's Degree or Higher,State Demographics.Employment.Firms.Total,State Demographics.Ethnicities.Black,State Demographics.Ethnicities.Hispanic,State Demographics.Ethnicities.White,State Demographics.Housing.Households with Internet,State Demographics.Income.Median Houseold Income,State Demographics.Income.Per Capita Income,State Demographics.Income.Persons Below Poverty Level,State Demographics.Miscellaneous.Language Other than English at Home,State Demographics.Miscellaneous.Under 65 Years Witout Health Insurance,State Demographics.Miscellaneous.Under 66 Years With a Disability,State Demographics.Sales.Accommodation and Food Services Sales,State Demographics.Sales.Retail Sales,Cancer Death Rate.Total,Cancer Death Rate.Breast,Cancer Death Rate.Colorectal,Cancer Death Rate.Lung
10,Georgia,Southeast,87.01661739439884,65.61389436877165,590.0000261391341,806.0000141898157,711.999953696391,287.0000377150364,246.99997423428206,659.9999738608659,10711908,143.00001456323187,235.99997311403348,312.9999809557737,86.80657078085436,325.9999992531676,99.00001008223745,602.0000358479554,812.9999809557737,5.479882762249265,2.900230285771685,133.00002203155591,139.99998879751394,155.0000242720531,87.0000003734162,1771.5435009337273,11183.954809918083,1.594,0.237,0.146,0.463
11,Hawaii,West,73.52101429905495,46.29309592508886,575.0001202525166,781.0002398178758,726.0001745379383,361.9999299099618,217.0001326213468,668.999794539986,1455271,189.99966329295367,211.99968940492872,329.9997045223879,81.3965233966732,22.00002611197502,107.00000206147172,254.99992784849007,848.0001319341895,55.848704468102504,24.44012146191328,92.99986050708081,265.99994090447757,50.00030922075682,63.99976361791034,6553.216548670316,12988.47087587123,1.66,0.19,0.165,0.398
12,Idaho,West,92.07897750319992,50.72790801617742,583.0001098359746,839.0000358870017,621.0000946111861,301.9999934750906,210.99980099026374,635.9997738031414,1839106,162.99984883959925,251.0002142345248,275.9998608019331,79.7354801735191,9.000025012152644,128.00023489673788,930.0002283718285,827.0001837849477,30.332672505010585,15.208476292285491,112.00006959903344,109.00024250913215,128.00023489673788,95.99990430132901,1457.352104772645,11116.421783192485,1.621,0.231,0.143,0.397
13,Illinois,Midwest,88.57571054784903,48.32199909650788,608.9999709658717,834.000025599984,659.0000177951108,267.0000284097384,214.00002247803474,655.0000202926702,12812508,161.00001654633112,222.00001748291592,346.99997845855006,88.58663737029471,145.99998688781307,175.00000780487318,767.9999887609827,826.9999909463471,5.14231874040586,2.812720194984464,114.99996721953266,232.00001123901737,86.0000243512043,72.00003309266226,2180.4771556045075,13005.612484300498,1.892,0.272,0.181,0.523
14,Indiana,Midwest,109.64953648411738,72.24669915148829,573.0000672018449,791.0000518751083,708.0000259375541,257.99996698856745,244.00002475857443,695.9999280822362,6785528,160.99999882102026,232.9999964630608,265.0000117897973,70.600106579768,98.99995991468903,73.00006720184487,848.0000377273515,801.0000106108176,8.297511999066248,4.388309944340366,119.00002475857443,87.9999316191754,102.99994340897274,96.99996816754717,1927.1310942936202,12653.099655620019,2.027,0.271,0.182,0.623
15,Iowa,Midwest,108.32728126433024,59.835398350472936,585.0000423148545,769.9999592523624,713.9998539353912,252.99988810071812,241.00002225447903,685.0000736591911,3190369,175.0001332134308,230.00004074763766,286.0001460646088,81.21975859218793,40.99995956580571,62.999922579488455,905.9999015787829,807.9999523566083,18.970532875664226,10.085353763154043,111.99989719057577,83.00011691437574,59.999956117928676,78.99995267005164,1714.1236640651912,14075.369965041662,2.103,0.271,0.209,0.582
16,Kansas,Mountain-Plains,103.65807997603714,61.31360028319741,562.9998502321401,803.0001225373398,679.9998638474002,278.00012253733985,248.99995915422005,651.00004084578,2937880,162.99985023214018,239.99993192370007,334.00002723051995,81.39134341770256,61.00010892207987,121.99987746266015,862.9998502321401,818.0000544610399,20.285716230751426,10.828897027788745,113.99989107792014,119.00009530681989,109.00002723051996,89.99993192370009,1658.818944272741,13028.599193976608,1.889,0.257,0.177,0.532
17,Kentucky,Southeast,130.05843976567277,72.95116821828402,550.0000443868796,801.9998952469641,681.9999662659715,0.0,0.0,672.0000461623548,4505836,167.9999005733897,223.99994140931895,241.99993075646785,73.58146190851154,84.99998668393613,39.000087886021596,874.999889032801,783.9999058998153,11.22743925877462,6.253667465926412,162.99994052158135,56.00004083592923,76.99991744040396,131.99992187909191,1664.5335072115363,12177.535533916458,2.263,0.274,0.202,0.797
18,Louisiana,Southwest,117.15918198394635,73.15989219703819,513.9999789598298,743.9999553433122,770.0000236165175,250.9999984971307,301.00003070147284,693.0000856635501,4657757,158.99992206549203,233.99997037200524,240.99990617801657,88.94646071059525,327.9999364500982,52.99997402183068,627.9999149805368,755.0000998334606,10.62077733982258,5.994945635850045,190.00003649825442,80.00009446607025,104.9998958726271,110.99999420321842,2511.4983456629448,13181.530079821683,2.029,0.281,0.194,0.599
19,Maine,Northeast,119.74670406258556,61.32744746428805,649.9997430926796,869.0000212866065,735.999835579315,290.99965574419076,225.99990164119737,721.9998546638587,1362359,211.99992072574116,184.9996953813202,317.99988108861174,102.4472991333415,16.999924395845735,17.99966088233718,944.0000763381752,821.0001915794588,42.51302336608779,23.956240609119916,108.99990384326011,61.00007413611243,100.99980988858296,116.99999779793725,2129.6493802294403,15797.388206779564,2.391,0.272,0.199,0.712
20,Maryland,Mid-Atlantic,67.15314192912544,43.651646759126756,629.0000168360416,808.0000012950801,755.9999443115548,284.00006216384577,227.0000246065223,718.0000271966825,6177224,159.00006216384577,221.00008029496746,401.9999922295193,86.11521939304775,311.000054393365,106.00004144256384,584.9999935245994,864.000075114647,13.728658698470381,6.818920602523075,89.9999740983976,190.00007122940661,68.99992618043315,75.00003237700301,2026.279442027681,12364.730014647355,1.793,0.273,0.165,0.479
21,Massachusetts,Northeast,78.63065808600585,47.23725756648336,632.9999344231234,828.9999725459063,769.9999871975729,340.00003129482184,220.00003698478943,708.9999782358739,7029917,170.00001564741092,196.00003812278297,437.00003854953053,86.43971187711035,90.00006685711936,124.00004153676352,805.9999854905826,863.9999590322333,11.552767977203715,6.224966809707711,93.99997183466036,237.99996500669923,34.99998648632694,78.00006742611613,2490.637513927974,13217.137556531607,1.978,0.256,0.17,0.534
22,Michigan,Midwest,107.54802040341832,77.28276465266448,606.0000410823064,809.00002193041,727.0000360214426,281.9999660624425,253.0000255027844,712.0000325483007,10077331,177.0000409830738,214.999983626617,290.99996814632766,82.7686418159729,141.00003264753337,53.000045349309254,791.9999849166411,815.0000233196666,5.670549076933168,3.1469642110594562,129.99999702302128,96.9999893821092,69.0000159764525,102.00002361736456,1782.451722584085,11838.655096274995,2.053,0.285,0.18,0.594
23,Minnesota,Midwest,92.93692414291507,50.69259689049003,635.9999677560337,793.9999586436085,724.9999737141579,295.0000473145157,228.00006448793252,696.9999442740149,5706494,163.0000837642167,230.99998002276004,360.9999414701917,85.77841315525785,70.00007360035777,56.00005888028621,838.0000049066905,848.0000154210273,12.495588359507607,6.593365383368492,89.99991939008434,119.00003750113467,58.00006098315358,72.99998913518529,2054.2608123306536,13826.03433912311,1.784,0.243,0.156,0.448
24,Mississippi,Southeast,125.67441298168798,92.02003593717444,531.999855467857,767.999908147797,702.0000479522531,257.0001002945011,333.99993718930233,624.9998733655289,2961279,164.0000823968292,235.0001468959865,219.99987167706928,79.51091403410486,377.9998439863316,33.99983588172543,591.0000374838035,714.9998362194174,15.22348958000918,8.229214471179514,196.00010671064766,39.99994596929232,154.00001148152538,118.99993212392349,2363.564865046488,12512.562983764785,2.114,0.277,0.209,0.656
25,Missouri,Mountain-Plains,125.90381050065209,69.46564476215993,566.0000393181837,805.0000056865142,691.0000190092045,269.0000654761489,281.0000726249096,659.0000541031205,6154913,173.00000828606352,223.00006515120523,292.0000656386207,79.87212816818044,118.00004321750771,43.99997205484464,829.0000199840355,801.9999632813656,9.010850356455078,5.005757189419249,129.00003623121887,63.0000781489519,120.00007148760673,102.99999366359849,2019.575256384615,14711.269030122765,2.112,0.289,0.194,0.655
26,Montana,Mountain-Plains,118.58331988286564,62.42246766123268,600.0,831.0000230579446,669.0004381009477,316.99970024672,195.99990776822153,657.0001614056123,1084225,192.99960801494154,213.9998616523323,320.0,103.68604302612465,5.999677188775393,40.99979247849846,888.9999769420554,807.0003919850584,50.699808619059695,28.731121307846617,125.9996771887754,41.999584956996934,102.00004611588923,92.00027669533537,2232.4286933062785,14409.899236782034,1.961,0.262,0.172,0.524
